               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.029952,            0.027393,           0.0033974,             0.86954,             0.83432,              0.8882,             0.59861,            0.027161,            0.039372,           0.0029547,            0.004258,            0.004258,            0.004258
                  60,            0.029826,            0.027507,           0.0034596,             0.91244,             0.79435,              0.8816,             0.59925,            0.027146,            0.039421,           0.0029971,            0.004159,            0.004159,            0.004159
                  61,            0.029817,            0.027444,           0.0035308,             0.88998,             0.81345,             0.88751,             0.60706,            0.027051,             0.03934,           0.0029373,             0.00406,             0.00406,             0.00406
                  62,            0.029575,            0.026997,           0.0034855,             0.88045,             0.84511,             0.88969,             0.60679,            0.026894,            0.039258,           0.0029358,            0.003961,            0.003961,            0.003961
                  63,            0.029219,            0.026651,           0.0033698,             0.89562,              0.8091,             0.87601,             0.60335,            0.026867,            0.039027,           0.0029743,            0.003862,            0.003862,            0.003862
                  64,            0.029333,            0.027054,             0.00338,             0.88253,             0.83225,             0.88542,             0.60389,            0.026814,            0.039075,           0.0029402,            0.003763,            0.003763,            0.003763
                  65,            0.029027,            0.026712,           0.0032628,             0.87631,             0.83617,             0.88493,             0.60435,            0.026719,            0.039041,           0.0029369,            0.003664,            0.003664,            0.003664
                  66,            0.028935,            0.026533,           0.0032134,             0.89985,             0.82367,             0.89803,             0.61198,            0.026635,            0.038778,           0.0028463,            0.003565,            0.003565,            0.003565
                  67,            0.028946,            0.026402,           0.0032654,             0.87015,             0.84325,             0.89235,             0.60608,            0.026513,            0.038577,           0.0028478,            0.003466,            0.003466,            0.003466
                  68,            0.028872,            0.026539,           0.0032072,             0.90669,             0.82937,             0.89852,             0.61929,            0.026486,            0.038536,           0.0027866,            0.003367,            0.003367,            0.003367
                  69,            0.028736,            0.026494,           0.0032346,              0.8942,              0.8327,             0.89553,              0.6197,            0.026408,            0.038478,           0.0027629,            0.003268,            0.003268,            0.003268
                  70,            0.028497,            0.026285,           0.0031133,             0.90843,             0.82081,             0.89687,             0.61724,            0.026308,            0.038498,           0.0028122,            0.003169,            0.003169,            0.003169
                  71,            0.028338,            0.026163,           0.0030396,             0.89976,             0.83381,             0.90029,             0.62671,            0.026268,            0.038464,           0.0028129,             0.00307,             0.00307,             0.00307
                  72,            0.028259,            0.026063,           0.0030597,             0.91183,             0.84445,             0.90185,             0.62646,            0.026218,            0.038328,           0.0027361,            0.002971,            0.002971,            0.002971
                  73,             0.02833,            0.026205,           0.0031195,             0.92562,             0.82098,             0.90402,             0.62556,             0.02608,            0.038087,           0.0027827,            0.002872,            0.002872,            0.002872
                  74,            0.028076,            0.025539,           0.0029833,             0.92263,             0.81844,             0.89931,             0.62765,            0.026116,            0.038195,            0.002741,            0.002773,            0.002773,            0.002773
